epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1599,3.17582,3.88008,4.32312,0.00333,1,0.00633,0.00173,2.67627,4.06475,4.15896,2e-05,2e-05,2e-05
2,30.272,2.96454,3.8183,4.27099,0.00333,1,0.00739,0.00201,2.67649,4.06524,4.15894,5.77154e-05,5.77154e-05,5.77154e-05
3,45.9912,3.03685,3.732,4.26915,0.00333,1,0.00837,0.00218,2.67653,4.0657,4.15885,9.23846e-05,9.23846e-05,9.23846e-05
4,61.586,2.72874,3.72978,4.31305,0.00333,1,0.00921,0.00245,2.67652,4.06568,4.1586,0.000124008,0.000124008,0.000124008
5,76.5951,2.77984,3.75706,4.26407,0.00333,1,0.01352,0.0036,2.67628,4.06538,4.15817,0.000152585,0.000152585,0.000152585
6,92.0325,3.13497,3.70001,4.24512,0.00333,1,0.01635,0.00374,2.67562,4.06488,4.15754,0.000178115,0.000178115,0.000178115
7,107.482,3.08013,3.85475,4.23087,0.00333,1,0.01242,0.00319,2.67428,4.06422,4.15666,0.0002006,0.0002006,0.0002006
8,123.082,3.05315,3.80498,4.25851,0.00333,1,0.01039,0.00266,2.67229,4.06344,4.15545,0.000220038,0.000220038,0.000220038
9,137.384,3.33051,3.75854,4.23022,0.00333,1,0.01332,0.00315,2.67097,4.06266,4.15474,0.000236431,0.000236431,0.000236431
10,151.555,2.96564,3.76642,4.16273,0.00333,1,0.01074,0.00271,2.66874,4.0619,4.15352,0.000249777,0.000249777,0.000249777
11,166.104,2.98268,3.57987,4.21277,0.00333,1,0.01024,0.00263,2.66619,4.0605,4.15217,0.000260077,0.000260077,0.000260077
12,181.047,3.07283,3.62107,4.15475,0.00333,1,0.00941,0.00218,2.6635,4.05745,4.15083,0.000267331,0.000267331,0.000267331
13,195.688,2.78001,3.57159,4.18974,0.00333,1,0.00698,0.00188,2.66047,4.05346,4.14955,0.000271538,0.000271538,0.000271538
14,210.851,3.07131,3.51279,4.14376,0.0031,0.93103,0.00676,0.00185,2.65692,4.04806,4.14801,0.0002727,0.0002727,0.0002727
15,225.785,2.99375,3.56677,4.11959,0.00333,1,0.00704,0.00176,2.65342,4.04239,4.14663,0.000270815,0.000270815,0.000270815
16,240.524,3.01998,3.5762,4.12326,0.00333,1,0.00699,0.00175,2.65019,4.03704,4.14525,0.000265885,0.000265885,0.000265885
17,254.629,2.6462,4.00765,4.09937,0.00333,1,0.00657,0.00174,2.64674,4.03297,4.14371,0.000257908,0.000257908,0.000257908
18,267.878,2.3768,3.92668,4.06733,0.00333,1,0.00621,0.00164,2.64559,4.02725,4.14237,0.000246885,0.000246885,0.000246885
19,280.89,2.62437,3.86344,4.06986,0.00333,1,0.00604,0.00164,2.64515,4.02214,4.14158,0.000232815,0.000232815,0.000232815
20,293.961,2.5808,3.84096,4.06133,0.00333,1,0.00599,0.00159,2.64489,4.0196,4.14167,0.0002157,0.0002157,0.0002157
21,307.006,2.53493,3.90691,4.06832,0.00333,1,0.0058,0.00158,2.64652,4.01675,4.14232,0.000195538,0.000195538,0.000195538
22,320.079,2.31404,3.85296,4.05992,0.00333,1,0.00598,0.00163,2.64692,4.01562,4.1433,0.000172331,0.000172331,0.000172331
23,333.283,2.4148,3.86283,4.01289,0.00333,1,0.00625,0.00165,2.64862,4.01195,4.14423,0.000146077,0.000146077,0.000146077
24,346.319,2.27153,3.79776,4.00472,0.00322,0.96552,0.00572,0.00162,2.65028,4.00708,4.14513,0.000116777,0.000116777,0.000116777
25,359.285,2.20304,3.72605,3.97309,0.00333,1,0.00595,0.0016,2.65063,4.00183,4.14601,8.44308e-05,8.44308e-05,8.44308e-05
26,372.456,2.35961,3.59345,3.93373,0.00333,1,0.00605,0.00161,2.65139,3.9975,4.14674,4.90385e-05,4.90385e-05,4.90385e-05
