epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7715,0.69432,2.63815,1.2042,0.00333,1,0.19486,0.15262,0.28043,3.11009,0.99656,2e-05,2e-05,2e-05
2,28.4746,0.56853,2.57824,1.14602,0.00333,1,0.40649,0.35729,0.23931,3.07598,0.93919,5.802e-05,5.802e-05,5.802e-05
3,42.1952,0.55435,2.35258,1.10473,0.00333,1,0.67902,0.63452,0.20418,3.02959,0.9049,9.34e-05,9.34e-05,9.34e-05
4,56.5813,0.48528,2.04733,1.06847,0.00333,1,0.89479,0.85891,0.21792,2.96852,0.87281,0.00012614,0.00012614,0.00012614
5,70.6648,0.41176,1.53487,1.00752,0.00333,1,0.94552,0.92016,0.23706,2.81685,0.86213,0.00015624,0.00015624,0.00015624
6,85.001,0.43117,1.30976,1.02783,1,0.41257,0.96558,0.92066,0.32337,2.59278,0.91052,0.0001837,0.0001837,0.0001837
7,99.3268,0.62613,1.49635,1.23038,0.94607,0.60536,0.9485,0.85882,0.36898,2.5716,0.96519,0.00020852,0.00020852,0.00020852
8,113.586,0.67387,1.35725,1.2524,1,0.33842,0.97182,0.86399,0.37464,2.78346,1.00943,0.0002307,0.0002307,0.0002307
9,127.75,0.61689,1.23295,1.09683,1,0.28874,0.95847,0.84336,0.41406,2.857,1.05675,0.00025024,0.00025024,0.00025024
10,141.661,0.62758,1.22871,1.11987,1,0.34581,0.95186,0.84984,0.38013,2.90702,1.00351,0.00026714,0.00026714,0.00026714
11,156.129,0.58503,0.98916,1.05811,1,0.23432,0.9527,0.88725,0.3461,2.88586,0.95422,0.0002814,0.0002814,0.0002814
12,170.888,0.52537,1.08748,1.15925,1,0.33338,0.98222,0.91595,0.35156,2.78409,0.95389,0.00029302,0.00029302,0.00029302
13,185.702,0.39262,0.99102,0.96184,1,0.80298,0.995,0.92345,0.40796,2.61632,0.98247,0.000302,0.000302,0.000302
14,199.729,0.5445,0.95537,1.05334,1,0.78015,0.995,0.89972,0.47396,2.58759,1.02478,0.00030834,0.00030834,0.00030834
15,213.598,0.50372,1.1126,1.07279,1,0.75193,0.995,0.91528,0.45342,2.53113,1.00443,0.00031204,0.00031204,0.00031204
16,227.7,0.53367,0.99985,1.04619,1,0.78996,0.995,0.92021,0.41904,2.46487,0.97675,0.0003131,0.0003131,0.0003131
17,241.911,0.52666,1.00412,1.1089,1,0.83802,0.995,0.92649,0.39351,2.43908,0.96192,0.00031152,0.00031152,0.00031152
18,255.854,0.53064,0.93854,1.05413,1,0.9535,0.995,0.88628,0.42269,2.36809,1.0034,0.0003073,0.0003073,0.0003073
19,270.024,0.45051,0.95884,0.97919,1,0.99242,0.995,0.88643,0.43072,2.27482,1.03607,0.00030044,0.00030044,0.00030044
20,283.728,0.46249,0.96823,1.00066,1,0.99521,0.995,0.87812,0.45915,2.09767,1.05114,0.00029094,0.00029094,0.00029094
21,297.527,0.31968,1.32699,0.88554,1,0.99812,0.995,0.85831,0.50367,2.05489,1.13501,0.0002788,0.0002788,0.0002788
22,311.929,0.33811,1.28554,0.86996,0.9966,1,0.995,0.85092,0.49845,2.15725,1.1337,0.00026402,0.00026402,0.00026402
23,325.868,0.30617,1.26344,0.88446,0.99517,1,0.995,0.91763,0.41289,2.2658,0.99922,0.0002466,0.0002466,0.0002466
24,339.581,0.27746,1.21782,0.87647,0.9943,1,0.995,0.9377,0.33672,2.27752,0.94075,0.00022654,0.00022654,0.00022654
25,353.525,0.29314,1.20753,0.84727,0.9947,1,0.995,0.96185,0.31107,2.13738,0.9047,0.00020384,0.00020384,0.00020384
26,367.451,0.26025,1.17064,0.91972,0.99514,1,0.995,0.93806,0.29722,2.01919,0.89999,0.0001785,0.0001785,0.0001785
27,380.931,0.27579,1.15421,0.86407,0.99271,1,0.995,0.96774,0.2758,1.89745,0.87987,0.00015052,0.00015052,0.00015052
28,394.499,0.27716,1.14856,0.8978,0.99271,1,0.995,0.96774,0.2758,1.89745,0.87987,0.0001199,0.0001199,0.0001199
29,408.381,0.29985,1.23683,0.93052,0.99568,1,0.995,0.97773,0.26035,1.80833,0.87191,8.664e-05,8.664e-05,8.664e-05
30,422.372,0.28285,1.15954,0.85525,0.99708,1,0.995,0.9774,0.24635,1.75076,0.86396,5.074e-05,5.074e-05,5.074e-05
