epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.416,0.70424,5.0809,1.21627,0,0,0,0,0.29279,5.34289,0.99683,1.18e-06,1.18e-06,1.18e-06
2,20.3327,0.59969,5.08969,1.17136,0,0,0,0,0.29082,5.34696,0.99786,3.50495e-06,3.50495e-06,3.50495e-06
3,30.1112,0.60306,5.05601,1.15236,0,0,0,0,0.29033,5.34551,1.00356,5.78318e-06,5.78318e-06,5.78318e-06
4,39.7217,0.63283,5.0321,1.18887,0,0,0,0,0.29326,5.34663,1.00606,8.01468e-06,8.01468e-06,8.01468e-06
5,49.2939,0.49871,5.01711,1.06822,0,0,0,0,0.29343,5.34939,1.00691,1.01994e-05,1.01994e-05,1.01994e-05
6,58.9831,0.63176,4.99954,1.17792,0,0,0,0,0.29723,5.34275,1.00861,1.23375e-05,1.23375e-05,1.23375e-05
7,68.8102,0.74,5.19324,1.28915,0,0,0,0,0.29178,5.34439,1.0064,1.44288e-05,1.44288e-05,1.44288e-05
8,78.1615,0.76954,5.13083,1.33243,0,0,0,0,0.28685,5.34437,1.00009,1.64734e-05,1.64734e-05,1.64734e-05
9,87.626,0.78942,5.06396,1.25528,0,0,0,0,0.28891,5.34042,1.00206,1.84712e-05,1.84712e-05,1.84712e-05
10,97.2524,0.72632,5.05018,1.23588,0,0,0,0,0.29063,5.34007,1.00365,2.04224e-05,2.04224e-05,2.04224e-05
11,106.696,0.66034,4.89828,1.17566,0,0,0,0,0.29302,5.33935,1.00216,2.23268e-05,2.23268e-05,2.23268e-05
12,115.987,0.53817,4.95874,1.23958,0,0,0,0,0.29893,5.33348,1.00713,2.41845e-05,2.41845e-05,2.41845e-05
13,125.417,0.59309,4.95476,1.1646,0,0,0,0,0.30413,5.32971,1.00796,2.59954e-05,2.59954e-05,2.59954e-05
14,134.623,0.68676,4.84241,1.19861,0,0,0,0,0.30517,5.33074,1.00242,2.77596e-05,2.77596e-05,2.77596e-05
15,144.094,0.67523,4.86185,1.22242,0,0,0,0,0.30626,5.32784,1.00369,2.94771e-05,2.94771e-05,2.94771e-05
16,153.635,0.65019,4.83161,1.1934,0,0,0,0,0.30297,5.32901,1.0029,3.11479e-05,3.11479e-05,3.11479e-05
17,163.441,0.63899,4.85686,1.25506,0,0,0,0,0.30259,5.32658,1.0057,3.27719e-05,3.27719e-05,3.27719e-05
18,174.302,0.68474,4.76595,1.25543,0,0,0,0,0.30805,5.32137,1.00964,3.43492e-05,3.43492e-05,3.43492e-05
19,184.669,0.56457,4.72582,1.13946,0,0,0,0,0.31069,5.31129,1.00941,3.58798e-05,3.58798e-05,3.58798e-05
20,194.304,0.64753,4.75341,1.17488,0,0,0,0,0.31154,5.30686,1.01052,3.73636e-05,3.73636e-05,3.73636e-05
21,203.581,0.56516,4.58281,1.11715,0,0,0,0,0.31159,5.30056,1.01229,3.88008e-05,3.88008e-05,3.88008e-05
22,213.596,0.71046,4.63146,1.21531,0,0,0,0,0.31149,5.29407,1.01278,4.01912e-05,4.01912e-05,4.01912e-05
23,223.776,0.5596,4.65026,1.15337,0,0,0,0,0.313,5.28645,1.01426,4.15348e-05,4.15348e-05,4.15348e-05
24,233.682,0.65508,4.64235,1.23213,0,0,0,0,0.31729,5.2767,1.01976,4.28318e-05,4.28318e-05,4.28318e-05
25,243.788,0.56656,4.54019,1.11242,0,0,0,0,0.32348,5.26647,1.02183,4.4082e-05,4.4082e-05,4.4082e-05
26,254.093,0.7025,4.51642,1.20186,0,0,0,0,0.32875,5.25428,1.01812,4.52854e-05,4.52854e-05,4.52854e-05
27,264.22,0.5975,4.42156,1.15745,0,0,0,0,0.33446,5.23789,1.02187,4.64422e-05,4.64422e-05,4.64422e-05
28,274.371,0.63968,4.60159,1.20802,0,0,0,0,0.33446,5.23789,1.02187,4.75522e-05,4.75522e-05,4.75522e-05
29,284.43,0.59967,4.34943,1.19483,0,0,0,0,0.34125,5.21266,1.02458,4.86155e-05,4.86155e-05,4.86155e-05
30,294.355,0.64792,4.46725,1.18709,0,0,0,0,0.35097,5.18474,1.03144,4.96321e-05,4.96321e-05,4.96321e-05
31,304.142,0.65568,4.26571,1.19758,0,0,0,0,0.35097,5.18474,1.03144,5.06019e-05,5.06019e-05,5.06019e-05
32,313.639,0.64624,4.22732,1.20534,0,0,0,0,0.35537,5.15553,1.03174,5.15251e-05,5.15251e-05,5.15251e-05
33,322.542,0.62719,4.23982,1.16212,0,0,0,0,0.3586,5.12119,1.03564,5.24014e-05,5.24014e-05,5.24014e-05
34,331.729,0.60351,4.2176,1.19836,0,0,0,0,0.3586,5.12119,1.03564,5.32311e-05,5.32311e-05,5.32311e-05
35,340.724,0.58594,4.16299,1.18141,0,0,0,0,0.36541,5.08562,1.03843,5.4014e-05,5.4014e-05,5.4014e-05
36,349.715,0.63898,4.08486,1.19477,1,0.06897,0.53448,0.53448,0.37203,5.04345,1.04166,5.47502e-05,5.47502e-05,5.47502e-05
37,358.749,0.64737,3.97045,1.17746,1,0.06897,0.53448,0.53448,0.37203,5.04345,1.04166,5.54397e-05,5.54397e-05,5.54397e-05
38,367.871,0.73976,3.96737,1.29329,1,0.17241,0.5862,0.5862,0.38027,4.99537,1.04389,5.60825e-05,5.60825e-05,5.60825e-05
39,376.847,0.63221,4.00414,1.17382,0.9,0.31034,0.60715,0.56242,0.39165,4.93965,1.04655,5.66785e-05,5.66785e-05,5.66785e-05
40,386.356,0.64858,3.92259,1.2099,0.9,0.31034,0.60715,0.56242,0.39165,4.93965,1.04655,5.72278e-05,5.72278e-05,5.72278e-05
41,395.886,0.77018,3.90099,1.31988,0.77273,0.58621,0.68056,0.62785,0.39739,4.88561,1.0453,5.77303e-05,5.77303e-05,5.77303e-05
42,405.157,0.75512,3.92795,1.24804,0.67857,0.65517,0.69434,0.6363,0.40851,4.82537,1.04845,5.81862e-05,5.81862e-05,5.81862e-05
43,414.189,0.64108,3.71652,1.18403,0.67857,0.65517,0.69434,0.6363,0.40851,4.82537,1.04845,5.85953e-05,5.85953e-05,5.85953e-05
44,423.157,0.70941,3.99642,1.22916,0.65625,0.72414,0.73084,0.66222,0.41848,4.75613,1.05296,5.89576e-05,5.89576e-05,5.89576e-05
45,432.18,0.6815,3.63761,1.24109,0.65625,0.72414,0.73084,0.66222,0.41848,4.75613,1.05296,5.92733e-05,5.92733e-05,5.92733e-05
46,441.279,0.61762,3.75372,1.18507,0.61111,0.75862,0.73657,0.66092,0.42422,4.69279,1.06044,5.95422e-05,5.95422e-05,5.95422e-05
47,450.533,0.64092,3.7088,1.18378,0.61111,0.75862,0.73657,0.66092,0.42422,4.69279,1.06044,5.97644e-05,5.97644e-05,5.97644e-05
48,459.661,0.73851,3.56685,1.24186,0.5,0.82759,0.74725,0.65962,0.43331,4.6177,1.0611,5.99399e-05,5.99399e-05,5.99399e-05
49,469.019,0.69256,3.65471,1.26369,0.5,0.82759,0.74725,0.65962,0.43331,4.6177,1.0611,6.00686e-05,6.00686e-05,6.00686e-05
50,478.633,0.78395,3.84947,1.30809,0.48214,0.93103,0.77475,0.67378,0.4417,4.53528,1.06573,6.01506e-05,6.01506e-05,6.01506e-05
51,487.777,0.67975,3.48334,1.23014,0.48214,0.93103,0.77475,0.67378,0.4417,4.53528,1.06573,5.959e-05,5.959e-05,5.959e-05
52,496.833,0.75276,3.46474,1.25154,0.38028,0.93103,0.75861,0.66246,0.45779,4.44003,1.07716,5.84218e-05,5.84218e-05,5.84218e-05
53,505.962,0.79165,3.59553,1.38918,0.38028,0.93103,0.75861,0.66246,0.45779,4.44003,1.07716,5.72536e-05,5.72536e-05,5.72536e-05
54,515.155,0.75995,3.70708,1.33464,0.34146,0.96552,0.76357,0.6637,0.47219,4.34559,1.08073,5.60854e-05,5.60854e-05,5.60854e-05
55,524.215,0.6333,3.48337,1.19316,0.34146,0.96552,0.76357,0.6637,0.47219,4.34559,1.08073,5.49172e-05,5.49172e-05,5.49172e-05
56,533.261,0.64506,3.43213,1.21085,0.29787,0.96552,0.75101,0.66294,0.47753,4.24529,1.08324,5.3749e-05,5.3749e-05,5.3749e-05
57,542.32,0.65935,3.33773,1.23162,0.29787,0.96552,0.75101,0.66294,0.47753,4.24529,1.08324,5.25808e-05,5.25808e-05,5.25808e-05
58,551.497,0.82171,3.46816,1.37342,0.26415,0.96552,0.73241,0.64996,0.48707,4.16192,1.08919,5.14126e-05,5.14126e-05,5.14126e-05
59,560.551,0.61414,3.21647,1.18667,0.26415,0.96552,0.73241,0.64996,0.48707,4.16192,1.08919,5.02444e-05,5.02444e-05,5.02444e-05
60,569.722,0.6841,3.102,1.23108,0.22581,0.96552,0.70499,0.62117,0.49479,4.07676,1.09684,4.90762e-05,4.90762e-05,4.90762e-05
61,578.788,0.76719,3.24671,1.26706,0.22581,0.96552,0.70499,0.62117,0.49479,4.07676,1.09684,4.7908e-05,4.7908e-05,4.7908e-05
62,587.913,0.72367,3.23976,1.27363,0.19858,0.96552,0.66953,0.59581,0.49835,3.98453,1.09938,4.67398e-05,4.67398e-05,4.67398e-05
63,597.431,0.65112,3.10924,1.21986,0.19858,0.96552,0.66953,0.59581,0.49835,3.98453,1.09938,4.55716e-05,4.55716e-05,4.55716e-05
64,606.742,0.74055,3.11312,1.27533,0.175,0.96552,0.64912,0.57269,0.50534,3.89789,1.10833,4.44034e-05,4.44034e-05,4.44034e-05
65,615.795,0.72568,3.09965,1.30958,0.175,0.96552,0.64912,0.57269,0.50534,3.89789,1.10833,4.32352e-05,4.32352e-05,4.32352e-05
66,624.972,0.7537,3.3967,1.30178,0.60606,0.6369,0.63883,0.56355,0.51023,3.82204,1.11015,4.2067e-05,4.2067e-05,4.2067e-05
67,634.274,0.68982,3.08567,1.23952,0.60606,0.6369,0.63883,0.56355,0.51023,3.82204,1.11015,4.08988e-05,4.08988e-05,4.08988e-05
68,643.41,0.68209,3.10762,1.26529,0.64859,0.44563,0.60429,0.54121,0.51299,3.7643,1.11408,3.97306e-05,3.97306e-05,3.97306e-05
69,652.456,0.72626,3.10548,1.31667,0.64859,0.44563,0.60429,0.54121,0.51299,3.7643,1.11408,3.85624e-05,3.85624e-05,3.85624e-05
70,661.707,0.79262,2.95185,1.31205,0.57204,0.41379,0.60159,0.53929,0.5193,3.71229,1.12023,3.73942e-05,3.73942e-05,3.73942e-05
71,670.958,0.73981,2.98436,1.28308,0.57204,0.41379,0.60159,0.53929,0.5193,3.71229,1.12023,3.6226e-05,3.6226e-05,3.6226e-05
72,680.199,0.77731,3.09365,1.30715,0.62556,0.58621,0.57665,0.51561,0.52273,3.67394,1.12287,3.50578e-05,3.50578e-05,3.50578e-05
73,689.528,0.77641,2.81011,1.316,0.62556,0.58621,0.57665,0.51561,0.52273,3.67394,1.12287,3.38896e-05,3.38896e-05,3.38896e-05
74,698.818,0.82158,2.84607,1.37435,0.59956,0.58621,0.55395,0.48785,0.53448,3.6227,1.13347,3.27214e-05,3.27214e-05,3.27214e-05
75,708.039,0.69264,3.00187,1.30202,0.59956,0.58621,0.55395,0.48785,0.53448,3.6227,1.13347,3.15532e-05,3.15532e-05,3.15532e-05
76,717.246,0.79708,2.96681,1.30486,0.57258,0.58621,0.54975,0.47925,0.53705,3.59545,1.13729,3.0385e-05,3.0385e-05,3.0385e-05
77,726.415,0.69201,2.87723,1.25354,0.57258,0.58621,0.54975,0.47925,0.53705,3.59545,1.13729,2.92168e-05,2.92168e-05,2.92168e-05
78,735.525,0.68366,2.88165,1.26751,0.53897,0.60494,0.53545,0.4731,0.54159,3.56393,1.1406,2.80486e-05,2.80486e-05,2.80486e-05
79,744.514,0.64993,2.76953,1.24804,0.53897,0.60494,0.53545,0.4731,0.54159,3.56393,1.1406,2.68804e-05,2.68804e-05,2.68804e-05
80,753.825,0.81246,2.95969,1.32687,0.52919,0.65517,0.53357,0.47586,0.54433,3.53384,1.13957,2.57122e-05,2.57122e-05,2.57122e-05
81,763.395,0.78133,2.9299,1.31032,0.52919,0.65517,0.53357,0.47586,0.54433,3.53384,1.13957,2.4544e-05,2.4544e-05,2.4544e-05
82,772.779,0.77977,3.12809,1.36329,0.49452,0.65517,0.50851,0.45366,0.54629,3.51561,1.14198,2.33758e-05,2.33758e-05,2.33758e-05
83,782.216,0.87471,3.14368,1.40317,0.49452,0.65517,0.50851,0.45366,0.54629,3.51561,1.14198,2.22076e-05,2.22076e-05,2.22076e-05
84,791.921,0.62078,2.84647,1.23868,0.47245,0.65517,0.49245,0.43957,0.55199,3.49926,1.14839,2.10394e-05,2.10394e-05,2.10394e-05
85,801.414,0.68677,2.63226,1.24767,0.47245,0.65517,0.49245,0.43957,0.55199,3.49926,1.14839,1.98712e-05,1.98712e-05,1.98712e-05
86,811.188,0.74405,2.75064,1.35327,0.47044,0.65517,0.49453,0.44047,0.54838,3.48538,1.14499,1.8703e-05,1.8703e-05,1.8703e-05
87,820.532,0.76387,2.84012,1.39297,0.47044,0.65517,0.49453,0.44047,0.54838,3.48538,1.14499,1.75348e-05,1.75348e-05,1.75348e-05
88,829.73,0.90099,3.01928,1.43269,0.47084,0.65517,0.49503,0.43926,0.54664,3.47104,1.14345,1.63666e-05,1.63666e-05,1.63666e-05
89,838.823,0.8114,2.60017,1.36005,0.47084,0.65517,0.49503,0.43926,0.54664,3.47104,1.14345,1.51984e-05,1.51984e-05,1.51984e-05
90,848.035,0.68125,2.835,1.27209,0.46258,0.65517,0.48714,0.43143,0.54984,3.47204,1.14552,1.40302e-05,1.40302e-05,1.40302e-05
91,858.005,0.5484,3.32257,1.13692,0.46258,0.65517,0.48714,0.43143,0.54984,3.47204,1.14552,1.2862e-05,1.2862e-05,1.2862e-05
92,868.189,0.62729,3.55826,1.19162,0.46963,0.65517,0.46863,0.42282,0.53596,3.4644,1.12918,1.16938e-05,1.16938e-05,1.16938e-05
93,877.722,0.78376,3.33499,1.32646,0.46963,0.65517,0.46863,0.42282,0.53596,3.4644,1.12918,1.05256e-05,1.05256e-05,1.05256e-05
94,887.321,0.6009,3.42609,1.15893,0.39712,0.58621,0.43691,0.39651,0.52497,3.45961,1.11536,9.3574e-06,9.3574e-06,9.3574e-06
95,896.795,0.61453,3.34803,1.18225,0.39712,0.58621,0.43691,0.39651,0.52497,3.45961,1.11536,8.1892e-06,8.1892e-06,8.1892e-06
96,905.997,0.72126,3.36154,1.33848,0.39697,0.58621,0.42089,0.38451,0.51233,3.47061,1.11016,7.021e-06,7.021e-06,7.021e-06
97,915.391,0.5751,3.50069,1.10469,0.39697,0.58621,0.42089,0.38451,0.51233,3.47061,1.11016,5.8528e-06,5.8528e-06,5.8528e-06
98,925.802,0.55867,3.31333,1.12443,0.40328,0.62069,0.40484,0.37241,0.49129,3.48026,1.09622,4.6846e-06,4.6846e-06,4.6846e-06
99,936.221,0.56317,3.52955,1.1542,0.40328,0.62069,0.40484,0.37241,0.49129,3.48026,1.09622,3.5164e-06,3.5164e-06,3.5164e-06
100,945.932,0.66862,3.36746,1.18073,0.38008,0.62069,0.38821,0.35907,0.47886,3.49712,1.0956,2.3482e-06,2.3482e-06,2.3482e-06
