epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.57662,0.69432,2.63815,1.2042,0.00333,1,0.20149,0.15652,0.28259,3.11213,0.9968,2e-05,2e-05,2e-05
2,18.8843,0.57502,2.59171,1.14751,0.00333,1,0.39269,0.33561,0.26265,3.08927,0.96716,5.77154e-05,5.77154e-05,5.77154e-05
3,28.1249,0.60549,2.40752,1.13823,0.00333,1,0.63893,0.58081,0.2394,3.05013,0.93963,9.23846e-05,9.23846e-05,9.23846e-05
4,37.4221,0.5587,2.19915,1.12264,0.00333,1,0.77276,0.72841,0.24684,3.00089,0.9112,0.000124008,0.000124008,0.000124008
5,46.7126,0.45743,1.72799,1.02484,0.00333,1,0.84897,0.78819,0.27183,2.90415,0.90244,0.000152585,0.000152585,0.000152585
6,56.1448,0.54878,1.55229,1.07386,0.72113,0.89655,0.8798,0.81846,0.28817,2.71573,0.90768,0.000178115,0.000178115,0.000178115
7,65.6167,0.64191,1.79397,1.22924,0.94467,0.55172,0.94366,0.88668,0.30174,2.48926,0.91181,0.0002006,0.0002006,0.0002006
8,75.0572,0.7385,1.58731,1.29146,1,0.77879,0.97265,0.90511,0.31217,2.41797,0.9309,0.000220038,0.000220038,0.000220038
9,84.3035,0.65066,1.52008,1.11996,0.99224,0.7931,0.98012,0.87437,0.35508,2.482,0.96333,0.000236431,0.000236431,0.000236431
10,93.5736,0.6514,1.33034,1.15962,1,0.61524,0.97708,0.85185,0.40177,2.56095,1.00006,0.000249777,0.000249777,0.000249777
11,102.814,0.61659,1.10143,1.08991,1,0.48198,0.98288,0.84992,0.39192,2.64803,0.99126,0.000260077,0.000260077,0.000260077
12,112.058,0.54757,1.27057,1.17962,1,0.45187,0.97578,0.86546,0.36778,2.67313,0.97386,0.000267331,0.000267331,0.000267331
13,121.232,0.49416,1.18441,1.0152,1,0.63277,0.98335,0.91541,0.31019,2.61185,0.95077,0.000271538,0.000271538,0.000271538
14,130.486,0.61995,1.09249,1.09141,1,0.86356,0.98574,0.91056,0.33383,2.53189,0.95506,0.0002727,0.0002727,0.0002727
15,139.739,0.54829,1.2094,1.08774,1,0.90427,0.98851,0.92459,0.34775,2.41857,0.95874,0.000270815,0.000270815,0.000270815
16,149.125,0.53704,1.08696,1.06834,1,0.94058,0.994,0.92529,0.35672,2.30099,0.96679,0.000265885,0.000265885,0.000265885
17,158.432,0.40184,1.70808,0.96399,1,0.95344,0.995,0.95187,0.35168,2.23878,0.96105,0.000257908,0.000257908,0.000257908
18,167.76,0.3969,1.71195,0.99444,0.99391,1,0.995,0.94081,0.39362,2.16443,1.04834,0.000246885,0.000246885,0.000246885
19,176.946,0.36683,1.50624,0.9571,0.96784,1,0.995,0.8915,0.46794,2.19176,1.23911,0.000232815,0.000232815,0.000232815
20,186.088,0.37418,1.65545,0.95946,0.98396,1,0.995,0.86674,0.52344,2.23763,1.3592,0.0002157,0.0002157,0.0002157
21,195.287,0.3152,1.38075,0.90356,0.98626,1,0.995,0.84366,0.5469,2.22828,1.37208,0.000195538,0.000195538,0.000195538
22,204.472,0.29914,1.33238,0.88034,0.98401,1,0.995,0.87448,0.52412,2.19653,1.2907,0.000172331,0.000172331,0.000172331
23,213.828,0.3518,1.28168,0.88909,0.9892,1,0.995,0.91023,0.46302,2.17463,1.15365,0.000146077,0.000146077,0.000146077
24,223.096,0.30877,1.34076,0.87186,0.9882,1,0.995,0.92633,0.39395,2.12881,1.03882,0.000116777,0.000116777,0.000116777
25,232.295,0.2984,1.36892,0.88002,0.98912,1,0.995,0.94118,0.35007,2.08033,0.98415,8.44308e-05,8.44308e-05,8.44308e-05
26,241.446,0.26347,1.27165,0.85717,0.99334,1,0.995,0.94078,0.32711,2.03365,0.95804,4.90385e-05,4.90385e-05,4.90385e-05
